AS,count
1403,125224
3549,122545
1299,117453
6939,109466
7018,105046
58511,99708
286,97601
37100,92548
393406,91032
1668,89879
7660,86916
3130,84893
62567,71852
47872,70180
57463,66638
3277,66299
57866,62714
202018,59720
2914,59610
49788,59181
8492,52212
200130,50508
3561,49298
13030,47287
40191,46780
18106,46740
6762,46704
701,43782
53364,41220
54728,40604
53767,39538
3356,37659
24441,37263
31019,35862
852,35612
22652,35073
2152,33599
293,33061
20912,32427
2497,30529
5413,30386
3257,29895
3303,29021
11686,28331
1239,28275
23673,25771
1221,25194
3741,24952
6539,24905
2905,15225
34224,11622
11537,6235
