                 prefix  count
32870  209.177.171.0/24  11299
41966    66.146.74.0/24  11030
41965    66.146.31.0/24  10999
41963    66.146.14.0/24  10999
45795   93.181.192.0/19   9499
25992    193.0.132.0/22   8910
28933   200.46.133.0/24   6683
28931   200.46.106.0/24   6683
28932   200.46.111.0/24   6681
28936   200.46.255.0/24   6658
29061    200.62.56.0/23   5882
41431    61.94.230.0/23   3663
28107  199.245.187.0/24   3399
31001   202.56.215.0/24   3387
43531     8.29.111.0/24   2807
33947  216.238.254.0/23   2777
27960  198.148.151.0/24   2640
29098    200.7.136.0/21   2610
29097    200.7.128.0/20   2607
31874    203.57.91.0/24   2366
808    103.198.184.0/24   2118
809    103.198.185.0/24   1989
19096  185.112.196.0/22   1909
12088  152.195.158.0/24   1627
19425  185.154.186.0/24   1617
19426  185.154.187.0/24   1617
1731   103.242.164.0/22   1476
35196     23.54.31.0/24   1315
8509    123.237.94.0/23   1240
8505    123.237.88.0/24   1240
...                 ...    ...
26173   193.231.32.0/20      1
26174    193.231.4.0/24      1
26175    193.231.5.0/24      1
24164  190.217.154.0/24      1
26178   193.231.79.0/24      1
26162  193.230.188.0/24      1
34471  219.101.128.0/17      1
34472     219.11.0.0/16      1
34473     219.12.0.0/16      1
34474  219.127.128.0/17      1
24163  190.217.153.0/24      1
34475   219.127.64.0/18      1
24165  190.217.155.0/24      1
34468      219.1.0.0/16      1
26170  193.231.129.0/24      1
26169  193.231.128.0/19      1
26168    193.231.0.0/19      1
26167  193.230.238.0/24      1
34467      219.0.0.0/16      1
26166  193.230.235.0/24      1
24166  190.217.156.0/22      1
43596   80.253.129.0/24      1
43597   80.253.133.0/24      1
43598   80.253.135.0/24      1
43599   80.253.136.0/24      1
43600   80.253.147.0/24      1
43601   80.253.148.0/24      1
26164  193.230.199.0/24      1
34466      219.0.0.0/10      1
9390    130.255.87.0/24      1

